,name,descriptio,latitud,longitud,Cosas_Cerc,geometry,TRANSPORTES,TALLER_MECANICO,CAJEROS_AUTOMATICOS,OXXO,ABARROTES,FERRETERIA,DEPOSITO,SIX,TECATE,PAPELERIA,MINI SUPER,TORTILLERIA,TACOS,clave,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Distances,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,#llamadas
0,B2,3-ene. La mujer entre 25 y 30 años fue encontrada sin vida con huellas de estrangulamiento. #SalinasVictoria. Fuente: El Norte. https://cutt.ly/DWDim0g,258.784.633,-1.002.607.262,"['BODEGA AURRERA EXPRESS VALLE DEL NORTE 3159', ' TRACTOS Y CAJAS OM', ' POLI TRANSPORTES', ' PRODUCTOS Y ASFALTOS PROCESADOS', ' GARFRUT', ' INFRAESTRUCTURA MAS CONTRUCCION', ' GA SAGA', ' AUTO LINEAS ROGA', ' ETROMEX S DE RL DE CV', ' OXXO SUC 50FQQ VALLE DEL NORTE MTY', ' IRON WORX', '']",POINT (-100.2607262 25.8784633),1,0,0,1,0,0,0,0,0,0,0,0,0,1904505510327,19,045,0551,0327,0.0,19,Nuevo León,045,Salinas Victoria,0551,Total AGEB urbana,0327,0,3757,1822,1935,227,100,127,3527,1721,1806,3374,1647,1727,2782,1347,1435,2611,1248,1363,2452,1164,1288,253,123,130,492,251,241,499,264,235,171,99,72,159,84,75,545,253,292,1141,72,33,39,106.2,1143,2574,37,1.6,2121,1050,1071,1627,769,858,2790,1383,1407,578,263,315,132,62,70,0,0,0,131,62,69,131,0,130,271,30,10,20,61,17,33,7,9,9,3,330,43,268,19,27,10,15,26,3344,91,43,48,13,5,8,6,4,*,115,65,50,95,44,51,9,*,7,11,4,7,20,9,11,45,26,19,205,123,82,44,20,24,1001,490,511,1199,527,672,10.36,10.19,10.51,1897,643,1254,882,702,180,1883,635,1248,14,8,6,689,3064,2413,70,14,230,166,19,108,72,832,1751,199,2786,468,*,496,1083,252,831,3757,863,2894,1446,1083,1421,1058,1082,1083,263,100,3757,3.47,1.13,1071,10,202,879,*,32,1047,1081,0,1081,1081,0,6,0,1081,0,1081,0,1081,0,1081,661,*,1036,840,453,410,34,89,838,1026,281,368,1049,655,421,119,97,24,25,378,3,1.0
1,B3,"04-ene. La mujer de 29 años que tenia antecedente de reporte de desaparición, fue encontrada sin vida en una brecha con lesiones por arma blanca. #Allende. Fuente: PuntoxPunto. https://cutt.ly/kWDiDrJ",252.606.459,-1.000.087.234,"['LOTE DE AUTOS EL GALLO', ' AFIRME', ' SIX DESPACHO CADEREYTA', ' AUTO LAVADO RODRIGUEZ', ' CARNICERIA LA PEÑITA', ' TALLER MECANICO SIN NOMBRE', ' ABARROTES GUZMAN GONZALEZ', ' SERVICAR JR PATO', ' TALLER MECANICO SIN NOMBRE', ' TRANSPORTES ALG', ' OXXO SUC 50CES RAICES MTA', ' DEPOSITO']",POINT (-100.0087234 25.2606459),1,0,0,1,1,0,1,1,0,0,0,0,0,1900400010150,19,004,0001,0150,0.0,19,Nuevo León,004,Allende,0001,Total AGEB urbana,0150,0,541,262,279,26,10,16,515,252,263,496,245,251,440,217,223,425,208,217,395,194,201,29,10,19,46,25,21,45,23,22,15,9,6,30,14,16,64,36,28,137,84,42,42,106.49,116,364,61,2.33,496,234,262,34,21,13,486,240,246,8,5,3,*,0,*,0,0,0,*,0,*,*,0,*,4,6,*,4,30,11,17,0,4,3,*,30,12,20,7,5,5,6,20,460,17,6,11,6,*,4,5,*,3,19,10,9,4,*,3,0,0,0,4,3,*,8,6,*,45,24,21,88,38,50,15,8,7,140,68,72,109,57,52,8.94,8.94,8.94,257,88,169,183,129,54,252,87,165,5,*,4,61,479,324,14,8,0,134,*,3,6,118,249,73,439,82,0,19,190,44,146,541,95,446,254,190,196,132,190,190,41,23,541,2.85,0.84,182,8,97,93,6,51,133,185,5,185,163,5,36,12,179,8,178,12,174,*,176,57,6,183,177,102,126,13,24,103,175,57,61,162,81,94,25,13,14,15,102,9,
2,B37,10-jun. La víctima de 25 años fue encontrada en una quinta campestre con herida de arma blanca. #Allende. Fuente: Milenio. https://cutt.ly/ZWS5zXb,252.626.558,-1.000.091.471,"['LOTE DE AUTOS EL GALLO', ' AFIRME', ' SIX DESPACHO CADEREYTA', ' AUTO LAVADO RODRIGUEZ', ' CARNICERIA LA PEÑITA', ' TALLER MECANICO SIN NOMBRE', ' ABARROTES GUZMAN GONZALEZ', ' SERVICAR JR PATO', ' TALLER MECANICO SIN NOMBRE', ' TRANSPORTES ALG', ' OXXO SUC 50CES RAICES MTA', ' DEPOSITO']",POINT (-100.0091471 25.2626558),1,0,0,1,1,0,1,1,0,0,0,0,0,1900400010150,19,004,0001,0150,0.0,19,Nuevo León,004,Allende,0001,Total AGEB urbana,0150,0,541,262,279,26,10,16,515,252,263,496,245,251,440,217,223,425,208,217,395,194,201,29,10,19,46,25,21,45,23,22,15,9,6,30,14,16,64,36,28,137,84,42,42,106.49,116,364,61,2.33,496,234,262,34,21,13,486,240,246,8,5,3,*,0,*,0,0,0,*,0,*,*,0,*,4,6,*,4,30,11,17,0,4,3,*,30,12,20,7,5,5,6,20,460,17,6,11,6,*,4,5,*,3,19,10,9,4,*,3,0,0,0,4,3,*,8,6,*,45,24,21,88,38,50,15,8,7,140,68,72,109,57,52,8.94,8.94,8.94,257,88,169,183,129,54,252,87,165,5,*,4,61,479,324,14,8,0,134,*,3,6,118,249,73,439,82,0,19,190,44,146,541,95,446,254,190,196,132,190,190,41,23,541,2.85,0.84,182,8,97,93,6,51,133,185,5,185,163,5,36,12,179,8,178,12,174,*,176,57,6,183,177,102,126,13,24,103,175,57,61,162,81,94,25,13,14,15,102,9,
3,B4,04-ene. La mujer de entre 35 y 40 años fue encontrada sin vida con huellas de estrangulamiento. #Guadalupe. Fuente: Multimedios. https://cutt.ly/bWDiVF2,256.671.838,-1.002.523.765,"['ACADEMIA DE MUSICA AB', ' DENTISTA SUITE', ' SAS3', ' REGALOS JIREH', ' SUPER TIENDA CONTRY', ' VENTA DE SISTEMAS DE FILTRACION Y REFACCIONES', ' ESTEREOS Y ALARMAS', ' FERRETERIA CONTRY', ' PAPELERIA ABACO', ' TORTAS LAS ENDIABLADAS', ' AGENCIA DE VIAJES MATKA', ' RESTAURANT EL 24 DE P']",POINT (-100.2523765 25.6671838),0,0,0,0,0,1,0,0,0,1,0,0,0,1902600010548,19,026,0001,0548,0.0,19,Nuevo León,026,Guadalupe,0001,Total AGEB urbana,0548,0,4149,2158,1991,92,48,44,4057,2110,1947,3986,2075,1911,3733,1955,1778,3620,1900,1720,3467,1827,1640,111,54,57,213,101,112,269,134,135,113,55,58,153,73,80,414,190,224,935,1177,648,529,92.26,529,2816,804,1.9,3264,1675,1589,845,458,387,3905,2028,1877,57,29,28,3,0,3,0,0,0,3,0,3,3,0,3,12,210,105,105,258,158,84,45,59,84,60,490,199,261,24,121,44,104,94,3385,31,17,14,6,3,3,*,*,*,136,64,72,222,105,117,3,0,3,26,13,13,31,17,14,118,75,43,270,174,96,56,23,33,465,229,236,2496,1274,1222,12.51,12.24,12.8,1964,833,1131,1768,1121,647,1934,827,1107,30,6,24,709,3440,2722,261,61,26,146,4,183,149,1354,1833,546,3353,541,9,241,1217,378,839,4064,1065,2999,1351,1218,1287,1154,1215,1217,98,35,4064,3.34,0.65,1214,*,210,1005,3,32,1180,1215,0,1215,1215,0,164,29,1215,0,1215,0,1215,0,1215,263,0,1210,1150,1001,945,56,132,818,1195,823,976,1137,1055,734,448,254,10,10,143,0,1.0
4,B50,"26-jun. La víctima de 28 años que era abogada, fue atacada con arma de fuego en la vía pública. #Guadalupe. Fuente: ABC Noticias. https://cutt.ly/6WGXcwl",256.631.042,-1.002.592.776,"['SERVICIO ELECTRICO DESCONOCIDO', ' TALLER DE SOLDADURA DESCONOCIDO', ' FLORERIA PROFLOR DEL NORTE', ' STEEL PMGM', ' CERRAJERIA Y PUERTAS Y VENTANAS DE ALUMINO', ' CONSULTORIO MEDICO', ' CONFECCIONES ALE', ' TORTILLAS DE HARINA', ' CHICHARRONES MENDEZ', ' SALON DE BELLEZA MKZ', ' MIN']",POINT (-100.2592776 25.6631042),0,0,0,0,0,0,0,0,0,0,0,0,0,1902600010548,19,026,0001,0548,0.0,19,Nuevo León,026,Guadalupe,0001,Total AGEB urbana,0548,0,4149,2158,1991,92,48,44,4057,2110,1947,3986,2075,1911,3733,1955,1778,3620,1900,1720,3467,1827,1640,111,54,57,213,101,112,269,134,135,113,55,58,153,73,80,414,190,224,935,1177,648,529,92.26,529,2816,804,1.9,3264,1675,1589,845,458,387,3905,2028,1877,57,29,28,3,0,3,0,0,0,3,0,3,3,0,3,12,210,105,105,258,158,84,45,59,84,60,490,199,261,24,121,44,104,94,3385,31,17,14,6,3,3,*,*,*,136,64,72,222,105,117,3,0,3,26,13,13,31,17,14,118,75,43,270,174,96,56,23,33,465,229,236,2496,1274,1222,12.51,12.24,12.8,1964,833,1131,1768,1121,647,1934,827,1107,30,6,24,709,3440,2722,261,61,26,146,4,183,149,1354,1833,546,3353,541,9,241,1217,378,839,4064,1065,2999,1351,1218,1287,1154,1215,1217,98,35,4064,3.34,0.65,1214,*,210,1005,3,32,1180,1215,0,1215,1215,0,164,29,1215,0,1215,0,1215,0,1215,263,0,1210,1150,1001,945,56,132,818,1195,823,976,1137,1055,734,448,254,10,10,143,0,1.0
5,B85,21-sep-2021. Una mujer murió tras ser atropellada por un conductor de un Verna. #Guadalupe. Fuente: Telediario. https://bit.ly/3zBoSCX,25.663.131,-1.002.606.877,"['SERVICIO ELECTRICO DESCONOCIDO', ' TALLER DE SOLDADURA DESCONOCIDO', ' ABARROTES  GONZALEZ', ' TIENDA  DE ABARROTES', ' FLORERIA PROFLOR DEL NORTE', ' STEEL PMGM', ' CERRAJERIA Y PUERTAS Y VENTANAS DE ALUMINO', ' COCINA MI FONDITA', ' PALETERIA LA MICHOACANA', ' CIBER PRINT', ' OXXO']",POINT (-100.2606877 25.663131),0,0,0,1,2,0,0,0,0,0,0,0,0,1902600010548,19,026,0001,0548,0.0,19,Nuevo León,026,Guadalupe,0001,Total AGEB urbana,0548,0,4149,2158,1991,92,48,44,4057,2110,1947,3986,2075,1911,3733,1955,1778,3620,1900,1720,3467,1827,1640,111,54,57,213,101,112,269,134,135,113,55,58,153,73,80,414,190,224,935,1177,648,529,92.26,529,2816,804,1.9,3264,1675,1589,845,458,387,3905,2028,1877,57,29,28,3,0,3,0,0,0,3,0,3,3,0,3,12,210,105,105,258,158,84,45,59,84,60,490,199,261,24,121,44,104,94,3385,31,17,14,6,3,3,*,*,*,136,64,72,222,105,117,3,0,3,26,13,13,31,17,14,118,75,43,270,174,96,56,23,33,465,229,236,2496,1274,1222,12.51,12.24,12.8,1964,833,1131,1768,1121,647,1934,827,1107,30,6,24,709,3440,2722,261,61,26,146,4,183,149,1354,1833,546,3353,541,9,241,1217,378,839,4064,1065,2999,1351,1218,1287,1154,1215,1217,98,35,4064,3.34,0.65,1214,*,210,1005,3,32,1180,1215,0,1215,1215,0,164,29,1215,0,1215,0,1215,0,1215,263,0,1210,1150,1001,945,56,132,818,1195,823,976,1137,1055,734,448,254,10,10,143,0,1.0
6,B5,02-feb. La víctima no identificada tenía impactos de arma de fuego. #García. Fuente: ABC Noticias. https://cutt.ly/rWDi2xL,256.466.663,-1.007.365.788,"['BANAMEX', ' BAJIO']",POINT (-100.7365788 25.6466663),0,0,0,0,0,0,0,0,0,0,0,0,0,1901800010404,19,018,0001,0404,0.18147910430000083,19,Nuevo León,018,García,0001,Total AGEB urbana,0404,0,404,206,198,38,19,19,366,187,179,334,172,162,289,147,142,279,141,138,270,138,132,39,18,21,38,22,16,39,22,17,10,6,4,9,3,6,98,54,44,131,*,*,0,96.12,125,278,*,1.53,168,82,86,234,124,110,195,99,96,133,70,63,43,21,22,0,0,0,43,21,22,43,0,43,82,21,13,8,7,0,3,*,*,*,*,50,15,24,12,8,*,13,*,346,22,9,13,0,0,0,*,*,0,6,*,4,13,9,4,0,0,0,3,*,*,3,3,0,10,3,7,16,8,8,7,4,3,110,56,54,132,66,66,10.09,10.13,10.04,217,86,131,72,61,11,212,85,127,5,*,4,76,327,277,6,0,*,39,*,3,0,55,217,17,275,34,0,95,126,18,108,404,54,350,429,126,428,125,126,126,224,79,404,3.21,0.98,125,*,34,92,*,14,111,126,0,126,121,0,*,*,126,0,126,0,126,0,126,89,0,116,81,60,27,12,9,76,110,18,7,122,25,49,3,17,5,4,91,*,
7,B57,09-sep. La víctima de 36 años fue encontrada con huellas de estrangulamiento y sin calzado. #García. Fuente: El Norte. https://cutt.ly/2WDqLyi,256.678.901,-1.006.996.426,[None],POINT (-100.6996426 25.6678901),0,0,0,0,0,0,0,0,0,0,0,0,0,1901800010404,19,018,0001,0404,0.1400921057774847,19,Nuevo León,018,García,0001,Total AGEB urbana,0404,0,404,206,198,38,19,19,366,187,179,334,172,162,289,147,142,279,141,138,270,138,132,39,18,21,38,22,16,39,22,17,10,6,4,9,3,6,98,54,44,131,*,*,0,96.12,125,278,*,1.53,168,82,86,234,124,110,195,99,96,133,70,63,43,21,22,0,0,0,43,21,22,43,0,43,82,21,13,8,7,0,3,*,*,*,*,50,15,24,12,8,*,13,*,346,22,9,13,0,0,0,*,*,0,6,*,4,13,9,4,0,0,0,3,*,*,3,3,0,10,3,7,16,8,8,7,4,3,110,56,54,132,66,66,10.09,10.13,10.04,217,86,131,72,61,11,212,85,127,5,*,4,76,327,277,6,0,*,39,*,3,0,55,217,17,275,34,0,95,126,18,108,404,54,350,429,126,428,125,126,126,224,79,404,3.21,0.98,125,*,34,92,*,14,111,126,0,126,121,0,*,*,126,0,126,0,126,0,126,89,0,116,81,60,27,12,9,76,110,18,7,122,25,49,3,17,5,4,91,*,
8,B10,"28-ene. La mujer de 35 a 40 años aproximadamente, fue privada de la libertad y su cuerpo fue hallado a la orilla de la carretera con golpes. #García. Fuente: INFO7. https://cutt.ly/sWSDjct",256.494.399,-1.007.315.464,"['BANAMEX', ' BAJIO']",POINT (-100.7315464 25.6494399),0,0,0,0,0,0,0,0,0,0,0,0,0,1901800010404,19,018,0001,0404,0.17588566353421917,19,Nuevo León,018,García,0001,Total AGEB urbana,0404,0,404,206,198,38,19,19,366,187,179,334,172,162,289,147,142,279,141,138,270,138,132,39,18,21,38,22,16,39,22,17,10,6,4,9,3,6,98,54,44,131,*,*,0,96.12,125,278,*,1.53,168,82,86,234,124,110,195,99,96,133,70,63,43,21,22,0,0,0,43,21,22,43,0,43,82,21,13,8,7,0,3,*,*,*,*,50,15,24,12,8,*,13,*,346,22,9,13,0,0,0,*,*,0,6,*,4,13,9,4,0,0,0,3,*,*,3,3,0,10,3,7,16,8,8,7,4,3,110,56,54,132,66,66,10.09,10.13,10.04,217,86,131,72,61,11,212,85,127,5,*,4,76,327,277,6,0,*,39,*,3,0,55,217,17,275,34,0,95,126,18,108,404,54,350,429,126,428,125,126,126,224,79,404,3.21,0.98,125,*,34,92,*,14,111,126,0,126,121,0,*,*,126,0,126,0,126,0,126,89,0,116,81,60,27,12,9,76,110,18,7,122,25,49,3,17,5,4,91,*,
9,B44,06-may. La mujer de 26 años de edad fue asesinada con arma de fuego y su cuerpo fue hallado envuelto en una bolsa. #García. Fuente: ABC Noticias. https://cutt.ly/YWSK0Vh,256.467.017,-1.007.365.438,"['BANAMEX', ' BAJIO']",POINT (-100.7365438 25.6467017),0,0,0,0,0,0,0,0,0,0,0,0,0,1901800010404,19,018,0001,0404,0.18142941269280888,19,Nuevo León,018,García,0001,Total AGEB urbana,0404,0,404,206,198,38,19,19,366,187,179,334,172,162,289,147,142,279,141,138,270,138,132,39,18,21,38,22,16,39,22,17,10,6,4,9,3,6,98,54,44,131,*,*,0,96.12,125,278,*,1.53,168,82,86,234,124,110,195,99,96,133,70,63,43,21,22,0,0,0,43,21,22,43,0,43,82,21,13,8,7,0,3,*,*,*,*,50,15,24,12,8,*,13,*,346,22,9,13,0,0,0,*,*,0,6,*,4,13,9,4,0,0,0,3,*,*,3,3,0,10,3,7,16,8,8,7,4,3,110,56,54,132,66,66,10.09,10.13,10.04,217,86,131,72,61,11,212,85,127,5,*,4,76,327,277,6,0,*,39,*,3,0,55,217,17,275,34,0,95,126,18,108,404,54,350,429,126,428,125,126,126,224,79,404,3.21,0.98,125,*,34,92,*,14,111,126,0,126,121,0,*,*,126,0,126,0,126,0,126,89,0,116,81,60,27,12,9,76,110,18,7,122,25,49,3,17,5,4,91,*,
